Deal Number;Target Country;Target Region;Investor 1;Investor 2;Investor 3;Investor Country 1;Investor Country 2;Investor Country 3;Investor Region 1;Investor Region 2;Investor Region 3;Inv. Sector 1;Inv. Sector 2;Inv. Sector 3;Crop 1;Crop 2;Crop 3;Year;Hectares
17;Cambodia;South-East Asia;Angkor Sugar Co. Ltd.;Mitr Phol Group;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;;;;;6523.0
19;Cambodia;South-East Asia;Bigi Mexico Sothy Aphivath Co Ltd;Bigimexco;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Private;;Rubber;Cashew;;;10603.0
20;Cambodia;South-East Asia;BNA (Cam) Corp;;;Republic of Korea;;;;;;Private;;;Rubber;Cassava;;;7500.0
23;Cambodia;South-East Asia;CJ Cambodia Co Ltd;CJ Corporation;;Cambodia;Republic of Korea;;South-East Asia;;;Private;Private;;Cassava;Banana;Mango;;8000.0
27;Cambodia;South-East Asia;Carmadeno Venture (Cambodia) Limited;Carmadeno Venture Limited;;Cambodia;India;;South-East Asia;Southern Asia;;Private;Unknown;;;;;;7635.0
29;Cambodia;South-East Asia;Central First Company Limited;Central First Company;;Cambodia;United States of America;;South-East Asia;;;Private;Unknown;;Rubber;;;;7000.0
33;Cambodia;South-East Asia;Unknown (CIV Development Company);CIV Development Company;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Private;;Rubber;Cassava;;;769.0
35;Cambodia;South-East Asia;Crops & Land Development (Cambodia) Co. Ltd;China Asean Resources Ltd.;;Cambodia;China, Hong Kong Special Administrative Region;;South-East Asia;;;Private;Private;;Rubber;;;;7200.0
36;Cambodia;South-East Asia;Danam Farms LTD in Cambodia;DUI Holding A/S;;Cambodia;Denmark;;South-East Asia;Northern Europe;;Private;Private;;Rubber;;;;4000.0
37;Cambodia;South-East Asia;Dau Tu Saigon-Binh Phouc (SBK);;;Vietnam;;;South-East Asia;;;Private;;;Rubber;Cassava;Cashew;;6436.0
39;Cambodia;South-East Asia;Unknown (Fortuna Plantation (Cambodia) Limited);Fortuna Plantation (Cambodia) Limited;;Cambodia;Malaysia;;South-East Asia;South-East Asia;;Private;Unknown;;Corn;Maize;Jatropha;;7955.0
40;Cambodia;South-East Asia;Unknown (CityStar);CityStar;;Cambodia;France;;South-East Asia;Western Europe;;Private;Private;;;;;;333.0
42;Cambodia;South-East Asia;GG World Group (Cambodia) Development Co., Ltd;Unknown (#158538);;Cambodia;Canada;;South-East Asia;Northern America;;Private;Unknown;;Cashew;Teak;;;4821.0
43;Cambodia;South-East Asia;Global Agricultural Development (Cambodia) Limited;Unknown;;Cambodia;United States of America;;South-East Asia;;;Private;Unknown;;Teak;;;;9800.0
48;Cambodia;South-East Asia;Grand Land Agricultural Development (Cambodia) Co Ltd;;;Cambodia;;;South-East Asia;;;Private;;;Teak;;;;9854.0
49;Cambodia;South-East Asia;Grandis Timber Ltd;SRP International Group Ltd.;International Woodlands Company A/S;Cambodia;China, Hong Kong Special Administrative Region;Denmark;South-East Asia;;Northern Europe;Private;Private;Private;Teak;;;;9603.0
50;Cambodia;South-East Asia;Great Asset Agricultural Development (Cambodia) Co Ltd;Unknown (#158540);;Cambodia;China;;South-East Asia;Eastern Asia;;Private;Unknown;;Cashew;;;;6928.0
51;Cambodia;South-East Asia;Great Wonder Agricultural Development (Cambodia) Limited;Unknown (#158502);;Cambodia;China;;South-East Asia;Eastern Asia;;Private;Unknown;;Rubber;Cashew;;;8178.0
55;Cambodia;South-East Asia;Unknown (HBC INVESTMENT AND SERVICES JOINT STOCK COMPANY, in Cambodia, 34833);Hoa Binh Construction (HBC) Group JSC;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Private;;Eucalyptus;;;;5914.0
57;Cambodia;South-East Asia;Heng Brothers Co Ltd;Hoang Anh Gia Lai Joint Stock Company (HAGL Group);;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Private;;Rubber;;;;2361.0
67;Cambodia;South-East Asia;Koh Kong Plantation Company Limited;Khon Kaen Sugar Industry Public Company Limited;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;;;;;9400.0
68;Cambodia;South-East Asia;Koh Kong Sugar Company Ltd;Khon Kaen Sugar Industry Public Company Limited;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;;;;;9700.0
70;Cambodia;South-East Asia;Land and Developing (Cambodia);Unknown (#158515);;Cambodia;China;;South-East Asia;Eastern Asia;;Private;Unknown;;Rubber;Cashew;;;7000.0
73;Cambodia;South-East Asia;Cane and Sugar Valley;Mitr Phol Group;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;;;;;6595.0
75;Cambodia;South-East Asia;Mega Star Investment and Forestry Development;Unknown (#158291);;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Unknown;;Rubber;;;;8000.0
77;Cambodia;South-East Asia;Hong An Mang Yang K Rubber Development;Vietnam Rubber Group;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Government;;Rubber;;;;6101.95
79;Cambodia;South-East Asia;Mondul Agri-Resource Co., Ltd;Unknown (#158402);;Cambodia;Singapore;;South-East Asia;South-East Asia;;Private;Private;;Rubber;;;;9100.0
82;Cambodia;South-East Asia;Hoang Anh Oyadav Co. Ltd.;Hoang Anh Gia Lai Joint Stock Company (HAGL Group);;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Private;;Rubber;;;;6866.0
83;Cambodia;South-East Asia;PDA (Cambodia) Co. Ltd.;;;Korea, Dem. People's Rep.;;;;;;Private;;;Rubber;Cassava;;;5256.0
95;Cambodia;South-East Asia;Tonle Sugar Cane Co Ltd;Mitr Phol Group;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;;;;;6618.0
100;Cambodia;South-East Asia;HLH Agriculture (Cambodia) Co. Ltd.;HLH Group Limited;;Cambodia;Singapore;;South-East Asia;South-East Asia;;Private;Private;;Corn;Maize;;;9985.0
101;Cambodia;South-East Asia;Siv Guek Investment Co Ltd;HuaYue Group Co. Ltd.;;Cambodia;China;;South-East Asia;Eastern Asia;;Private;Private;;Rubber;Teak;;;9411.0
105;Cambodia;South-East Asia;Ta Bien Kampong Thom Rubber Development;Vietnam Rubber Group;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Government;;Rubber;;;;8100.0
108;Cambodia;South-East Asia;Thy Nga Development and Investment Co. Ltd.;Vietnam Rubber Group;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Government;;Rubber;;;;6060.0
109;Cambodia;South-East Asia;(Cambodia) Tong Min Group Engineering Co., Ltd.;China Asean Resources Ltd.;;Cambodia;China, Hong Kong Special Administrative Region;;South-East Asia;;;Private;Private;;Rubber;Jatropha;;;6971.0
112;Cambodia;South-East Asia;Unigreen Resource Co. Ltd.;Unigreen Resource Co., Ltd;;Cambodia;Malaysia;;South-East Asia;South-East Asia;;Private;Private;;Rubber;;;;8000.0
117;Cambodia;South-East Asia;Unknown (Wuzhishan L.S Group);Wuzhishan L.S Group;;Cambodia;China;;South-East Asia;Eastern Asia;;Private;Private;;Pine;;;;10000.0
129;Cambodia;South-East Asia;Unknown (Real Green Co. Ltd., in Cambodia, 34905);Real Green Co. Ltd.;;Cambodia;Thailand;;South-East Asia;South-East Asia;;Private;Private;;Cassava;;;;8000.0
130;Cambodia;South-East Asia;Dong Nai Kratie Aphivath Caoutchouc Co. Ltd.;Vietnam Rubber Group;;Cambodia;Vietnam;;South-East Asia;South-East Asia;;Private;Government;;Rubber;;;;2502.0
131;China;Eastern Asia;Yunnan Shenyu New Energy Co. Ltd.;China Sandi Holdings Limited;;China;China, Hong Kong Special Administrative Region;;Eastern Asia;;;Private;Private;;Jatropha;;;;33350.0
144;China;Eastern Asia;Stora Enso (Guangxi) Forestry Co Ltd;Stora Enso;;China;Finland;;Eastern Asia;Northern Europe;;Private;Private;;Eucalyptus;;;;90200.0
182;Indonesia;South-East Asia;Minamas Plantation;Sime Darby;;Indonesia;Malaysia;;South-East Asia;South-East Asia;;Private;Private;;;;;;59721.0
187;Indonesia;South-East Asia;Unknown (First Resources );First Resources;;Indonesia;Singapore;;South-East Asia;South-East Asia;;Private;Private;;Rubber;;;;100000.0
191;Indonesia;South-East Asia;Unknown operating company (#38084);First Pacific;;Indonesia;China, Hong Kong Special Administrative Region;;South-East Asia;;;Private;Private;;Rubber;;;;380172.0
195;Indonesia;South-East Asia;PT. Henrison Inti Persada (IDN);Noble Group;;Indonesia;China, Hong Kong Special Administrative Region;;South-East Asia;;;Private;Private;;;;;;32500.0
217;Lao PDR;;Birla Lao Pulp & Plantations Company Limited;Shandong Sun Paper;;Lao PDR;China;;;Eastern Asia;;Private;Private;;Eucalyptus;;;;50000.0
219;Lao PDR;;Ari Construction and Building Repairment Co;;;China;;;Eastern Asia;;;Private;;;Rubber;;;;200.0
222;Lao PDR;;Cherchanghang Co;;;China;;;Eastern Asia;;;Unknown;;;Rubber;;;;200.0
230;Lao PDR;;GO Crapkin Co Ltd;;;Republic of Korea;;;;;;Unknown;;;;;;;500.0
234;Lao PDR;;Hoang Anh Attapeu Agriculture Development Co. Ltd.;Hoang Anh Gia Lai Joint Stock Company (HAGL Group);;Lao PDR;Vietnam;;;South-East Asia;;Private;Private;;Rubber;;;;20000.0
238;Lao PDR;;Kolao Farm and Bio Energy Company;Koala Group;;Lao PDR;Vietnam;;;South-East Asia;;Private;Private;;Jatropha;;;;14507.0
251;Lao PDR;;Unknown (Kaosouyaotiang Viet-Lao Company);Kaosouyaotiang Viet-Lao Company;;Lao PDR;Vietnam;;;South-East Asia;;Private;Unknown;;Rubber;;;;10000.0
253;Lao PDR;;Savannakhet Sugar Corporation (SSC);Khon Kaen Sugar Industry Public Company Limited;;Lao PDR;Thailand;;;South-East Asia;;Private;Private;;;;;;10000.0
254;Lao PDR;;Unknown (KV Import-Export Co. Ltd.);KV Import-Export Co. Ltd.;;Lao PDR;Malaysia;;;South-East Asia;;Private;Unknown;;Jatropha;;;;500.0
261;Lao PDR;;Lao-Thai Hua Rubber Company;Honda;;Lao PDR;Japan;;;Eastern Asia;;Private;Government;;Rubber;;;;16000.0
266;Lao PDR;;Unknown (Yunnan Lilieng Biological Co. Ltd.);Yunnan Power Biological Products Co. Ltd;;Lao PDR;China;;;Eastern Asia;;Private;Private;;Rubber;;;;500.0
268;Lao PDR;;Mitr Lao Sugar Company;Mitr Phol Group;;Lao PDR;Thailand;;;South-East Asia;;Private;Private;;;;;;10000.0
272;Lao PDR;;Mekong Timber Plantations Co, Ltd.;Government of Laos;;Lao PDR;Lao PDR;;;;;Private;Government;;Eucalyptus;;;;24000.0
274;Lao PDR;;Paksong Highland Company Limited;Thai Charoen Corporation Group (TCC);;Lao PDR;Thailand;;;South-East Asia;;Private;Private;;Coffee;;;;2400.0
277;Lao PDR;;Tongtheun Lao-China Agriculture Development;;;China;;;Eastern Asia;;;Unknown;;;;;;;500.0
